,project,bugid,test,test_method,pattern,commit_modified,report_url
141,Closure,39,RecordTypeTest,testRecursiveRecord,3,"['febdacb341025491b3ae83ee8ffa9d22c69c295e', 'd577973fb378dfe0d05991ec0dfa6c1f40e574ee']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-643.json
142,Closure,40,IntegrationTest,testIssue284,1,['6ebc0c3d7d4da7d2cf95f53d4ea790e89d3abc7a'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-284.json
143,Closure,40,NameAnalyzerTest,testIssue284,1,['6ebc0c3d7d4da7d2cf95f53d4ea790e89d3abc7a'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-284.json
144,Closure,41,LooseTypeCheckTest,testMethodInference6,3,"['de13c3313c05f4449c50c560324389d6905a214d', '00b1517c53912ac6843c257c0a6ead1176e8c5ee']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-368.json
145,Closure,41,TypeCheckTest,testIssue368,1,['00b1517c53912ac6843c257c0a6ead1176e8c5ee'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-368.json
146,Closure,41,TypeCheckTest,testMethodInference6,3,"['77b7c78d4aeeb6471f2f668a06c0f61a68f95ccd', '00b1517c53912ac6843c257c0a6ead1176e8c5ee']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-368.json
147,Closure,42,ParserTest,testForEach,1,['fb01427a445ebfeb3af5e220a98ccaced339b73e'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-644.json
148,Closure,43,TypeCheckTest,testLends10,1,['f636f23bdef4b27752ca249a28463ec1b6af1f0b'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-314.json
149,Closure,43,TypeCheckTest,testLends11,1,['f636f23bdef4b27752ca249a28463ec1b6af1f0b'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-314.json
150,Closure,44,CodePrinterTest,testIssue620,1,['64bb2291f9a9bbab67d865dffe603f8a0df8ef30'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-620.json
151,Closure,45,RemoveUnusedVarsTest,testIssue618_1,1,['6aa71f116df0102a98c463f471ad8ddd4dba01f8'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-618.json
152,Closure,46,JSTypeTest,testRecordTypeLeastSuperType2,3,"['845f5ff65858fd0d1829f3d2f16f758725e8028f', 'cf5fd88f13f0b11625ac407f85cb58b36862e173', '6bbac115c9a7928a7053b2da3a78df9569df8570', '4a1a31c6a50a0fbe25fa33277909bd51f1deb8e9']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-603.json
153,Closure,46,JSTypeTest,testRecordTypeLeastSuperType3,3,"['845f5ff65858fd0d1829f3d2f16f758725e8028f', 'cf5fd88f13f0b11625ac407f85cb58b36862e173', '6bbac115c9a7928a7053b2da3a78df9569df8570', '4a1a31c6a50a0fbe25fa33277909bd51f1deb8e9']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-603.json
154,Closure,46,RecordTypeTest,testSupAndInf,1,['4a1a31c6a50a0fbe25fa33277909bd51f1deb8e9'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-603.json
157,Closure,47,SourceMapGeneratorV3Test,testBasicMappingGoldenOutput,3,"['ef2dd6e0723162aaf56cf58eeede68622caeca37', 'ffd701db8fd53ccb34c32b954227e65a33b77c84', 'aedce35970673f20696d5721acba13e986cc764c']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-575.json
158,Closure,47,SourceMapGeneratorV3Test,testGoldenOutput0a,1,['aedce35970673f20696d5721acba13e986cc764c'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-575.json
159,Closure,47,SourceMapGeneratorV3Test,testGoldenOutput1,3,"['ef2dd6e0723162aaf56cf58eeede68622caeca37', 'ffd701db8fd53ccb34c32b954227e65a33b77c84', 'aedce35970673f20696d5721acba13e986cc764c']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-575.json
160,Closure,47,SourceMapGeneratorV3Test,testGoldenOutput2,3,"['ef2dd6e0723162aaf56cf58eeede68622caeca37', 'ffd701db8fd53ccb34c32b954227e65a33b77c84', 'aedce35970673f20696d5721acba13e986cc764c']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-575.json
161,Closure,47,SourceMapGeneratorV3Test,testGoldenOutput3,3,"['ef2dd6e0723162aaf56cf58eeede68622caeca37', 'aedce35970673f20696d5721acba13e986cc764c']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-575.json
162,Closure,47,SourceMapGeneratorV3Test,testGoldenOutput4,3,"['ef2dd6e0723162aaf56cf58eeede68622caeca37', 'aedce35970673f20696d5721acba13e986cc764c']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-575.json
163,Closure,47,SourceMapGeneratorV3Test,testGoldenOutput5,3,"['ef2dd6e0723162aaf56cf58eeede68622caeca37', 'aedce35970673f20696d5721acba13e986cc764c']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-575.json
165,Closure,47,SourceMapGeneratorV3Test,testLiteralMappingsGoldenOutput,3,"['ef2dd6e0723162aaf56cf58eeede68622caeca37', 'ffd701db8fd53ccb34c32b954227e65a33b77c84', 'aedce35970673f20696d5721acba13e986cc764c']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-575.json
171,Closure,48,TypeCheckTest,testIssue586,1,['46da17d59abb4f9c48b6ffd31601c212490b970b'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-586.json
172,Closure,49,FunctionInjectorTest,testBug1897706,3,"['6b49cfd9022fe111bdad745c78ea877fbc2f7ba3', '3df1d1eeb4a5868e5331ee98fb6748a2f1ccedba', '1a7ba5cb0111dd3ed9afd9691cab39b3c341e408']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-539.json
611,Codec,1,CaverphoneTest,testLocaleIndependence,1,['52d82d1dfff8c2b2ded9d843e0b03017af6d747c'],https://issues.apache.org/jira/browse/CODEC-65
612,Codec,1,DoubleMetaphoneTest,testLocaleIndependence,1,['52d82d1dfff8c2b2ded9d843e0b03017af6d747c'],https://issues.apache.org/jira/browse/CODEC-65
613,Codec,1,MetaphoneTest,testLocaleIndependence,1,['52d82d1dfff8c2b2ded9d843e0b03017af6d747c'],https://issues.apache.org/jira/browse/CODEC-65
614,Codec,1,RefinedSoundexTest,testLocaleIndependence,1,['52d82d1dfff8c2b2ded9d843e0b03017af6d747c'],https://issues.apache.org/jira/browse/CODEC-65
615,Codec,1,SoundexTest,testLocaleIndependence,1,['52d82d1dfff8c2b2ded9d843e0b03017af6d747c'],https://issues.apache.org/jira/browse/CODEC-65
618,Codec,3,DoubleMetaphone2Test,testDoubleMetaphoneAlternate,3,"['3b8cd11d086e4e09e801deb114d34abb80175ac0', 'a5dfe5cbc95d7f3ce0b4829756690c2cb8439f4c']",https://issues.apache.org/jira/browse/CODEC-84
619,Codec,4,Base64Codec13Test,testBinaryEncoder,1,['cbe33f0a85fd9f2c04efb96296a26880995618b0'],https://issues.apache.org/jira/browse/CODEC-89
620,Codec,4,Base64Codec13Test,testEncoder,1,['cbe33f0a85fd9f2c04efb96296a26880995618b0'],https://issues.apache.org/jira/browse/CODEC-89
655,Collections,26,MultiKeyTest,testEqualsAfterSerializationOfDerivedClass,1,['f8bd75d37ca12c5d49c1b628c33c0b45e2d082eb'],https://issues.apache.org/jira/browse/COLLECTIONS-576
658,Compress,1,CpioTestCase,testCpioUnarchive,3,"['70c8320f7f592d325e8c89a294a1b2db70595f65', '004124ac5dbf5edbf925078652526267468821e7']",https://issues.apache.org/jira/browse/COMPRESS-28
659,Compress,2,ArTestCase,testArDelete,2,"['99696beab393fbaf96cf040c64b798c76e921cd9', 'cd71b5e41d3a001cda232275ade26f2b77fe0854', 'c3a8a1c58e4e249aa39dc1ccd0b9b7b49efe5e97', 'e0b8b9495baf6d69ba7d773539faec09405c6014', '29f1d08cebf3e13af884b6155988c0bf90dc51bf']",https://issues.apache.org/jira/browse/COMPRESS-11
660,Compress,3,ArchiveOutputStreamTest,testFinish,1,['d170f34fa65e19b604f5a9e04e6ed5f81d35658c'],https://issues.apache.org/jira/browse/COMPRESS-64
661,Compress,4,JarArchiveOutputStreamTest,testJarMarker,3,"['1903db40e53210537fd022ac5cd922323959ff0e', '0860a7c84864406ac7c2f3d617b8a4caacb7614f', '6273f3a6b804aa845747c8859d659373b14199e1']",https://issues.apache.org/jira/browse/COMPRESS-64
671,Compress,5,Maven221MultiVolumeTest,testRead7ZipMultiVolumeArchiveForStream,1,['dc3fc4703211876fb38cccf55adc92ee5cbc28d0'],https://issues.apache.org/jira/browse/COMPRESS-87
672,Compress,6,ZipArchiveEntryTest,testNotEquals,1,['5066e9aeb98f386b29a31cd4acb97aa43844cd30'],https://issues.apache.org/jira/browse/COMPRESS-94
674,Compress,8,TarUtilsTest,testParseOctalInvalid,1,['35e4e4fb6848ddfa3878270523f3f9336ae7f9b8'],https://issues.apache.org/jira/browse/COMPRESS-113
675,Compress,9,TarArchiveOutputStreamTest,testCount,1,['fdac1475918e93444b08a024d096b4ec39d6733d'],https://issues.apache.org/jira/browse/COMPRESS-160
677,Compress,11,ArchiveStreamFactoryTest,shortTextFilesAreNoTARs,1,['a933173f486614073b68b6c0a6ef09a9c72c94fc'],https://issues.apache.org/jira/browse/COMPRESS-171
678,Compress,12,TarTestCase,testCOMPRESS178,1,['bc84d2083e4b1da77547bb4e810a06553e8f0bed'],https://issues.apache.org/jira/browse/COMPRESS-178
679,Compress,13,ZipArchiveInputStreamTest,winzipBackSlashWorkaround,1,['c75c10faae27781aeb51713f42153cad1fd242a4'],https://issues.apache.org/jira/browse/COMPRESS-176
680,Compress,13,ZipFileTest,testWinzipBackSlashWorkaround,1,['c75c10faae27781aeb51713f42153cad1fd242a4'],https://issues.apache.org/jira/browse/COMPRESS-176
681,Compress,14,TarArchiveInputStreamTest,workaroundForBrokenTimeHeader,1,['40f2e6380094ebfdc73e4adaf4059b80e1327aad'],https://issues.apache.org/jira/browse/COMPRESS-181
730,Csv,1,CSVParserTest,testGetLineNumberWithCR,1,['c4e120bbf42cf3981a629582ea722dacea9db19e'],https://issues.apache.org/jira/browse/CSV-75
731,Csv,2,CSVRecordTest,testGetStringInconsistentRecord,1,['a0d975933d6fe9eb5f359088de43508c1d3109bf'],https://issues.apache.org/jira/browse/CSV-96
732,Csv,3,CSVLexerTest,testEscapedCharacter,2,"['3a1806ba26c3088de58ed5898f278dcd075b0552', 'dbbae1eccdf486c70204f99f1a938c26fc062e2f', 'eb13cb152a3e7ab53feb5b3a11c960fb91f59a97', '09a6e887b891152ebebb3c2df9e0d8a8dcfa3a52', '2c6120826245f89fedf2f936ab4a0c3edd8717f3']",https://issues.apache.org/jira/browse/CSV-58
733,Csv,3,CSVLexerTest,testEscapedMySqlNullValue,2,"['3a1806ba26c3088de58ed5898f278dcd075b0552', 'dbbae1eccdf486c70204f99f1a938c26fc062e2f', '09a6e887b891152ebebb3c2df9e0d8a8dcfa3a52', '16e12d213016d30376e2bcc5cabc299bcfa765f7', '2c6120826245f89fedf2f936ab4a0c3edd8717f3']",https://issues.apache.org/jira/browse/CSV-58
756,Gson,3,MapTest,testConcurrentMap,1,['fef43b2aaa4fd7cb8f0dff395980c69f614635af'],https://github.com/google/gson/issues/624
757,Gson,3,MapTest,testConcurrentNavigableMap,1,['fef43b2aaa4fd7cb8f0dff395980c69f614635af'],https://github.com/google/gson/issues/624
762,Gson,6,JsonAdapterNullSafeTest,testNullSafeBugDeserialize,3,"['79a00cd90695c9ab72f301ca30fe2cbbc1fe8e36', '1fa43821e829c455db89f9b75737d109c01dfd2c', '1ab73ffd21d8c08bbe734154921a936e4a8cb091']",https://github.com/google/gson/pull/800
763,Gson,6,JsonAdapterNullSafeTest,testNullSafeBugSerialize,3,"['79a00cd90695c9ab72f301ca30fe2cbbc1fe8e36', '1ab73ffd21d8c08bbe734154921a936e4a8cb091']",https://github.com/google/gson/pull/800
767,Gson,8,UnsafeAllocatorInstantiationTest,testAbstractClassInstantiation,1,['ab40462cc76f6708e3ce2e981f5c6b485347702b'],https://github.com/google/gson/issues/817
768,Gson,8,UnsafeAllocatorInstantiationTest,testInterfaceInstantiation,1,['ab40462cc76f6708e3ce2e981f5c6b485347702b'],https://github.com/google/gson/issues/817
789,JacksonCore,2,TestParserErrorHandling,testMangledNumbersBytes,1,['38d6e35d1f1a9b48193804925517500de8efee1f'],https://github.com/FasterXML/jackson-core/issues/105
790,JacksonCore,2,TestParserErrorHandling,testMangledNumbersChars,1,['38d6e35d1f1a9b48193804925517500de8efee1f'],https://github.com/FasterXML/jackson-core/issues/105
791,JacksonCore,3,TestLocation,testOffsetWithInputOffset,1,['911cca0254267decd90a4b6a9c0610549309a451'],https://github.com/FasterXML/jackson-core/issues/111
793,JacksonCore,5,TestJsonPointer,testWonkyNumber173,1,['0d9cd9fa434c0070638332b7f2243af0277461eb'],https://github.com/FasterXML/jackson-core/issues/173
795,JacksonCore,7,GeneratorFailTest,testFailOnWritingStringNotFieldNameBytes,1,['5cddffa133e7de41fa9efb5962cf3d0cff9b3e89'],https://github.com/FasterXML/jackson-core/issues/177
796,JacksonCore,7,GeneratorFailTest,testFailOnWritingStringNotFieldNameChars,1,['5cddffa133e7de41fa9efb5962cf3d0cff9b3e89'],https://github.com/FasterXML/jackson-core/issues/177
797,JacksonCore,8,TestTextBuffer,testEmpty,1,['11f0b4090937b2aa998734aa2bf032ee8c428e84'],https://github.com/FasterXML/jackson-core/issues/182
801,JacksonCore,10,TestSymbolTables,testCollisionsWithBytesNew187b,3,"['fe4ca6a0ec9092a66ba42ad8efd7a7fee166a8e3', '8fbde688c8502bedaeee121b75598b1882d43d9e', 'c2823b4de28120d86aeba9215f0231d990a8eb47']",https://github.com/FasterXML/jackson-core/issues/207
802,JacksonCore,10,TestSymbolTables,testShortNameCollisionsDirectNew,3,"['8394dbcce82edd037f1a83d905d5a3c7c11f046b', '6a637520ac13991f4864c47f72d7459d551390a5', 'c2823b4de28120d86aeba9215f0231d990a8eb47']",https://github.com/FasterXML/jackson-core/issues/207
803,JacksonCore,10,TestSymbolTables,testSyntheticWithBytesNew,3,"['aa65eaacdaa0aa35a14fa803c5bd217dc63ccdb9', 'e0a02273c70bb5d44ebbe70e97aec06e83a28f99', 'fe4ca6a0ec9092a66ba42ad8efd7a7fee166a8e3', '88391ccd5f494490d183306368da42b79b36cd26', '86b31e7772a491285d13063777c2497b8b9bb3c3', 'c2823b4de28120d86aeba9215f0231d990a8eb47']",https://github.com/FasterXML/jackson-core/issues/207
841,JacksonDatabind,1,TestPOJOAsArray,testNullColumn,1,['88f44d87d4c2251d7cf55d9aa9c3452a397ae19b'],https://github.com/FasterXML/jackson-databind/issues/223
842,JacksonDatabind,2,TestConversions,testConversionOfPojos,1,['9c5fec2302237ede0e797c13c0663a6bb52c798c'],https://github.com/FasterXML/jackson-databind/issues/467
843,JacksonDatabind,3,TestArrayDeserialization,testStringArray,3,"['a63c2038a03c7090ce4773d6cf54809150e59350', '798390aa9d6474a31ddf02774d167502474efdc4', '8ba07ccfb014690281668eb46e5be6bd1883e61a', 'fa1d99255915f21c868f28307fd6e3adb2029ea0']",https://github.com/FasterXML/jackson-databind/issues/479
844,JacksonDatabind,4,TestCollectionDeserialization,testArrayIndexForExceptions,1,['9e080e298d8c0cfd7d77a56eb93d85a5da322555'],https://github.com/FasterXML/jackson-databind/issues/506
845,JacksonDatabind,5,TestMixinMerging,testDisappearingMixins515,1,['fd0f1fefdc19593a040b3dce857715d613cb6458'],https://github.com/FasterXML/jackson-databind/issues/515
846,JacksonDatabind,6,TestDateDeserialization,testISO8601MissingSeconds,1,['5e799a2e2265cbb6a056b37b50f82cc1eebf1d45'],https://github.com/FasterXML/jackson-databind/issues/570
847,JacksonDatabind,6,TestDateDeserialization,testISO8601PartialMilliseconds,1,['5e799a2e2265cbb6a056b37b50f82cc1eebf1d45'],https://github.com/FasterXML/jackson-databind/issues/570
848,JacksonDatabind,7,TestCreatorsDelegating,testDelegateWithTokenBuffer,1,['bcccd3e82241db25a2f34ed655dab88395089f39'],https://github.com/FasterXML/jackson-databind/issues/592
849,JacksonDatabind,8,TestJdkTypes,testStringBuilder,1,['3b041e3bad5968ade7f7519daeef6695a8f6b7f9'],https://github.com/FasterXML/jackson-databind/issues/667
850,JacksonDatabind,9,TestMapSerialization,testClassKey,1,['00bb11edc3581f42e1f3c78a047538c8ea9eb0d9'],https://github.com/FasterXML/jackson-databind/issues/682
851,JacksonDatabind,10,TestAnyGetter,testIssue705,1,['466f706901d39ae95393c6c7b1d0b544247922f1'],https://github.com/FasterXML/jackson-databind/issues/705
852,JacksonDatabind,11,TestJavaType,testLocalType728,1,['66bfe6658e6c25e03d1bcd5d4d858e1aaf738a01'],https://github.com/FasterXML/jackson-databind/issues/609
854,JacksonDatabind,12,TestCustomDeserializers,testCustomMapValueDeser735,1,['1d57c20dfd79c64837cf1ec357ab402f2158227e'],https://github.com/FasterXML/jackson-databind/issues/735
855,JacksonDatabind,13,TestObjectIdDeserialization,testNullObjectId,1,['59af571c64a169eccd670337f097ff4be44a2262'],https://github.com/FasterXML/jackson-databind/issues/742
856,JacksonDatabind,14,TestUpdateValue,testIssue744,1,['817a45a07040297a5db45dd04e79b010146b7e0d'],https://github.com/FasterXML/jackson-databind/issues/744
857,JacksonDatabind,15,TestConvertingSerializer,testIssue731,1,['119ddc9701c94ac184362166742ceaa7437eec8f'],https://github.com/FasterXML/jackson-databind/issues/731
858,JacksonDatabind,16,MixinsWithBundlesTest,testMixinWithBundles,1,['6dcb13f70fb1c68b0c055bfb1dae2b296ae67b03'],https://github.com/FasterXML/jackson-databind/issues/771
859,JacksonDatabind,17,TestJsonNode,testArrayWithDefaultTyping,1,['a143c05db7a911f98f8bf59beb13cfcb7689395d'],https://github.com/FasterXML/jackson-databind/issues/793
860,JacksonDatabind,18,ReadRecoveryTest,testRootBeans,3,"['436c309b2951b5c65509990f2990c1795305a840', 'a936f43366a942cad8f16a0dedebf71d7868c969', '2abf5a321405a82ed4e0d3a7c876c82bb05188f9']",https://github.com/FasterXML/jackson-databind/issues/734
861,JacksonDatabind,18,ReadRecoveryTest,testSimpleArrayRecovery,1,['2abf5a321405a82ed4e0d3a7c876c82bb05188f9'],https://github.com/FasterXML/jackson-databind/issues/734
862,JacksonDatabind,18,ReadRecoveryTest,testSimpleRootRecovery,1,['2abf5a321405a82ed4e0d3a7c876c82bb05188f9'],https://github.com/FasterXML/jackson-databind/issues/734
866,JacksonDatabind,20,TestNamingStrategyStd,testNamingWithObjectNode,1,['6456a9ac0bee09e2ae45ae56739102a8071f217a'],https://github.com/FasterXML/jackson-databind/issues/815
867,JacksonDatabind,21,TestEnumDeserialization,testEnumWithJsonPropertyRename,1,['707db7a972e2d088647450f9a890c438fb735933'],https://github.com/FasterXML/jackson-databind/issues/677
869,JacksonDatabind,23,TestJsonSerialize2,testEmptyInclusionScalars,1,['6172d7561007a941b01f960dd44d94a92f3ad763'],https://github.com/FasterXML/jackson-databind/issues/849
973,JacksonXml,1,NestedUnwrappedLists180Test,testNestedUnwrappedLists180,2,"['3edad6c637cbc9fe364f4c93cb17d82d96b293d1', '89065364ba7b0371203bf96d1e16404b3b0c533f', 'ad178abf96dc0922fc7d645595f0d66e27fa5482', '2d7683ed820116b77cba9b4b290cd7ce7dfa5cf4']",https://github.com/FasterXML/jackson-dataformat-xml/issues/180
974,JacksonXml,1,NestedUnwrappedListsTest,testNestedWithEmpty,3,"['9d3997cb5b4ba817707191ce57eb5812105c146d', '2d7683ed820116b77cba9b4b290cd7ce7dfa5cf4']",https://github.com/FasterXML/jackson-dataformat-xml/issues/180
985,Jsoup,1,ParserTest,createsStructureFromBodySnippet,1,"['27a52f90a25699bebe23ff1ff94d6db361fdb11d', '5000be31966a575f54d80ef85ee49ca1f5cb6ea8']",https://github.com/jhy/jsoup/issues/23
986,Jsoup,2,ParserTest,handlesTextAfterData,1,"['bb4ead7c350695c1ed3c52d028090da4d4cecd1e', '5000be31966a575f54d80ef85ee49ca1f5cb6ea8']",https://github.com/jhy/jsoup/issues/22
987,Jsoup,3,ElementTest,testAppendRowToTable,1,['0081d162cca8ad23b500b53799195fec644f261b'],https://github.com/jhy/jsoup/issues/21
988,Jsoup,3,ElementTest,testPrependRowToTable,1,['0081d162cca8ad23b500b53799195fec644f261b'],https://github.com/jhy/jsoup/issues/21
989,Jsoup,3,ParserTest,handlesNestedImplicitTable,1,"['0081d162cca8ad23b500b53799195fec644f261b', '78d40f41b9567d7e8a0c891f31b7deee2b1f3f19', '8749726a79c22451b1f01b14fb2137f734e926b4', '5000be31966a575f54d80ef85ee49ca1f5cb6ea8']",https://github.com/jhy/jsoup/issues/21
990,Jsoup,4,EntitiesTest,caseSensitive,1,"['5e52f1b266173593fab32fe9d8a4963066b2f2fe', '43e17dc7f7c32e937448cff716e9af7aa40e5ec3']",https://github.com/jhy/jsoup/issues/31
991,Jsoup,4,EntitiesTest,escape,3,"['f8841edabba28d6125dd87ed72f557e85570066b', '935cab0e00f289ce5369f4c217b5eb3a3d9e33e7', '5e52f1b266173593fab32fe9d8a4963066b2f2fe', '528b793d86be485f7b4fff51f97e67708eb632da', '20ed24cefb5df53c48021459af98bef83c55f241', '2e4969497c5734d90d394103728bb517644f9157', 'f317c04acf821d61601f5d986252db40505153bc', '472c7e55ee9d5cc7e7771696092c6eeca5a91b4d', 'a31ec08e102fd3832f3ff4449e9163440f0afb2c', 'c2a9605b70fdae3c064b49bf2a0b633c935322cc', 'ae51709b8c07098fa688ec6be0b5a7dec7654178', 'a991deb4430343e8f22de5d5aa51f829bab52315', '6c4f16f233cdfd7aedef33374609e9aa4ede255c', '9e1ca808ee75ec5269bfab9c3e583792cee494c1', '43e17dc7f7c32e937448cff716e9af7aa40e5ec3', 'a025d87deb9cc4cda49ae1b77feb0f29805dd7c5', 'aa81e10c34f48a3c4ac7160aa90ee18af4f5c0c2', '973234bc842b0de2febea195f7819236b57fd992']",https://github.com/jhy/jsoup/issues/31
992,Jsoup,5,ParserTest,parsesQuiteRoughAttributes,1,"['62afbdf6a85fec75fde38d327928a180bc5bccb3', '5000be31966a575f54d80ef85ee49ca1f5cb6ea8']",https://github.com/jhy/jsoup/issues/32
993,Jsoup,6,EntitiesTest,quoteReplacements,1,['20ed24cefb5df53c48021459af98bef83c55f241'],https://github.com/jhy/jsoup/issues/34
994,Jsoup,6,ParseTest,testYahooArticle,1,['20ed24cefb5df53c48021459af98bef83c55f241'],https://github.com/jhy/jsoup/issues/34
995,Jsoup,7,DocumentTest,testNormalisesStructure,1,['82855b07f5336d30c70dc20548ab7ab8adeac05e'],https://github.com/jhy/jsoup/issues/43
